Column,control number,personal name,personal name 1,personal name 2,personal name 3,personal relationship
1,9992132490501488,"Rebuffi, Pierre",Rebuffi, Pierre,,aut
2,9992133457501488,Priscianus Caesariensis.,Priscianus Caesariensis.,,,aut
4,9992133466501488,"Le Roy, Louis",Le Roy, Louis,,aut
5,9992133467601488,"Delbène, Alphonse",Delbène, Alphonse,,aut
6,9992135299701488,Anselmus Cantuariensis,Anselmus Cantuariensis,,,aut
7,9992139606001488,"Carrion, Louis",Carrion, Louis,,edt
8,9992141290101488,Cebes Thebanus,Cebes Thebanus,,,aut
9,9992141290201488,Aristoteles.,Aristoteles.,,,aut
10,9992141304001488,Pius,Pius,,,dte
11,9992141470301488,Henry,Henry,,,pub
12,9992146280701488,Henry,Henry,,,aut
13,9992146280801488,Henry,Henry,,,aut
17,9992146281501488,"de Tyard, Pontus",de Tyard, Pontus,,aut
19,9992146281701488,"de Gondi, Pierre",de Gondi, Pierre,,oth
20,9992146281901488,Henry,Henry,,,aut
21,9992146282101488,"Guarna, Andrea",Guarna, Andrea,,aut
22,9992146282201488,"Duchesne, Léger",Duchesne, Léger,,aut
23,9992154109701488,"Erasmus Roterodamus, Desiderius",Erasmus Roterodamus, Desiderius,,edt
24,9992166899001488,"Patrizi, Francesco",Patrizi, Francesco,,aut
25,9992169195201488,"Richeome, Louis",Richeome, Louis,,aut
26,9992173406801488,"Crocquet, André",Crocquet, André,,aut
27,9992176194601488,"Auger, Émond",Auger, Émond,,aut
28,9992176195001488,"Auger, Émond",Auger, Émond,,aut
29,9992176195701488,"Auger, Émond",Auger, Émond,,aut
30,9992176196201488,"Auger, Émond",Auger, Émond,,aut
31,9992177295501488,"Camerarius, Bartholomeus",Camerarius, Bartholomeus,,aut
32,9992179098501488,"Bovio, Giovanni Carlo",Bovio, Giovanni Carlo,,edt
33,9992179103401488,"Fabri, Johann (of Heilbrunn)",Fabri, Johann (of Heilbrunn),,aut
34,9992179109101488,"Beauxamis, Thomas",Beauxamis, Thomas,,aut
35,9992182497401488,"de Sainctes, Claude",de Sainctes, Claude,,aut
36,9992182506901488,"Chappuys, Gabriel",Chappuys, Gabriel,,trl
38,9992183204501488,"Brunner, Johann",Brunner, Johann,,aut
39,9992185397301488,"Pibrac, Gui du Faur",Pibrac, Gui du Faur,,aut
40,9992185398201488,"Pibrac, Gui du Faur",Pibrac, Gui du Faur,,aow
41,9992186200701488,"Ogier, Simon",Ogier, Simon,,aut
42,9992186201201488,"Ceneau, Robert",Ceneau, Robert,,aut
43,9992187097901488,"Pistor, Martinus",Pistor, Martinus,,aut
44,9992187102601488,"de Beaucaire-Péguillon, François",de Beaucaire-Péguillon, François,,aut
45,9992187106401488,"Richardot, François",Richardot, François,,aut
46,9992189104701488,"Catullus, Caius Valerius",Catullus, Caius Valerius,,aut
47,9992192307601488,"Carasse, Bernard",Carasse, Bernard,,pat
48,9992193410101488,"Bruto, Giovanni Michele",Bruto, Giovanni Michele,,ann
49,9992195185801488,"Givanius, Obertus",Givanius, Obertus,,edt
50,9992202556701488,"Lambin, Denis",Lambin, Denis,,edt
51,9992220685301488,"Charron, Pierre",Charron, Pierre,,aut
52,9992220686601488,"Palma-Cayet, Pierre-Victor",Palma-Cayet, Pierre-Victor,,aut
53,9992220686701488,"Palma-Cayet, Pierre-Victor",Palma-Cayet, Pierre-Victor,,aut
54,9992220686801488,"Palma-Cayet, Pierre-Victor",Palma-Cayet, Pierre-Victor,,aut
55,9992220686901488,"Palma-Cayet, Pierre-Victor",Palma-Cayet, Pierre-Victor,,aut
56,9992220688201488,"Bruneau, Jean",Bruneau, Jean,,aut
57,9992221114701488,"Flaminio, Marco Antonio",Flaminio, Marco Antonio,,aut
58,9992221133801488,"Du Val, Antoine",Du Val, Antoine,,aut
59,9992221133901488,"Du Val, Antoine",Du Val, Antoine,,aut
60,9992221134201488,"Benoist, René",Benoist, René,,aut
