,control number,personal name,personal relationship
0,9992132490501488,Rebuffi,aut
1,9992133457501488,Priscianus Caesariensis.,aut
2,9992133466501488,Le Roy,aut
3,9992133467601488,Delbène,aut
4,9992135299701488,Anselmus Cantuariensis,aut
5,9992139606001488,Carrion,edt
6,9992141290101488,Cebes Thebanus,aut
7,9992141290201488,Aristoteles.,aut
8,9992141304001488,Pius,dte
9,9992141470301488,Henry,pub
10,9992146280701488,Henry,aut
11,9992146280801488,Henry,aut
12,9992146281501488,de Tyard,aut
13,9992146281701488,de Gondi,oth
14,9992146281901488,Henry,aut
15,9992146282101488,Guarna,aut
16,9992146282201488,Duchesne,aut
17,9992154109701488,Erasmus Roterodamus,edt
18,9992166899001488,Patrizi,aut
19,9992169195201488,Richeome,aut
20,9992173406801488,Crocquet,aut
21,9992176194601488,Auger,aut
22,9992176195001488,Auger,aut
23,9992176195701488,Auger,aut
24,9992176196201488,Auger,aut
25,9992177295501488,Camerarius,aut
26,9992179098501488,Bovio,edt
27,9992179103401488,Fabri,aut
28,9992179109101488,Beauxamis,aut
29,9992182497401488,de Sainctes,aut
30,9992182506901488,Chappuys,trl
31,9992183204501488,Brunner,aut
32,9992185397301488,Pibrac,aut
33,9992185398201488,Pibrac,aow
34,9992186200701488,Ogier,aut
35,9992186201201488,Ceneau,aut
36,9992187097901488,Pistor,aut
37,9992187102601488,de Beaucaire-Péguillon,aut
38,9992187106401488,Richardot,aut
39,9992189104701488,Catullus,aut
40,9992192307601488,Carasse,pat
41,9992193410101488,Bruto,ann
42,9992195185801488,Givanius,edt
43,9992202556701488,Lambin,edt
44,9992220685301488,Charron,aut
45,9992220686601488,Palma-Cayet,aut
46,9992220686701488,Palma-Cayet,aut
47,9992220686801488,Palma-Cayet,aut
48,9992220686901488,Palma-Cayet,aut
49,9992220688201488,Bruneau,aut
50,9992221114701488,Flaminio,aut
51,9992221133801488,Du Val,aut
52,9992221133901488,Du Val,aut
53,9992221134201488,Benoist,aut
54,9992221134401488,Benoist,aut
55,9992221134501488,Benoist,aut
